"sn","bi2","n_tested","n_positive","positivity","lon","lat"
21098,"1. Agugu",2,0,0,3.93318009376526,7.38153314590454
21099,"1. Agugu",4,0,0,3.9338173866272,7.38523530960083
21100,"1. Agugu",3,0,0,3.93558478355408,7.38159990310669
21102,"1. Agugu",2,0,0,3.93426728248596,7.38203525543213
21103,"1. Agugu",1,0,0,3.93441462516785,7.38246202468872
21105,"1. Agugu",1,0,0,3.93437194824219,7.38223123550415
21106,"1. Agugu",3,0,0,3.93349885940552,7.38321590423584
21109,"1. Agugu",3,1,0.333333333333333,3.93318009376526,7.38153314590454
21110,"1. Agugu",4,0,0,3.93284034729004,7.37964820861816
21111,"1. Agugu",1,0,0,3.93190598487854,7.37884759902954
21112,"1. Agugu",1,0,0,3.93190598487854,7.37884759902954
21113,"1. Agugu",1,1,1,3.93430304527283,7.38249588012695
21114,"1. Agugu",1,0,0,3.93530321121216,7.38249588012695
21115,"1. Agugu",1,0,0,3.93413591384888,7.38152456283569
21116,"1. Agugu",4,1,0.25,3.93413591384888,7.38388442993164
21117,"1. Agugu",3,0,0,3.93413591384888,7.38388442993164
21118,"1. Agugu",3,2,0.666666666666667,3.93297052383423,7.38132905960083
21119,"1. Agugu",5,0,0,3.93516206741333,7.38198184967041
21120,"1. Agugu",5,1,0.2,3.93413591384888,7.38152456283569
21121,"1. Agugu",1,0,0,3.93530249595642,7.38226413726807
21122,"1. Agugu",1,0,0,3.93279623985291,7.37947940826416
21123,"1. Agugu",4,0,0,3.93512654304504,7.38218259811401
21124,"1. Agugu",4,0,0,3.93318009376526,7.38153314590454
21125,"1. Agugu",4,2,0.5,3.9325430393219,7.37917947769165
21126,"1. Agugu",3,0,0,3.93513298034668,7.38175487518311
21127,"1. Agugu",2,1,0.5,3.93413591384888,7.38152456283569
21128,"1. Agugu",2,0,0,3.93513607978821,7.38152456283569
21129,"1. Agugu",1,0,0,3.92457985877991,7.38531637191772
21130,"1. Agugu",2,0,0,3.92362427711487,7.38498735427856
21131,"1. Agugu",1,0,0,3.92776489257812,7.3822546005249
21132,"1. Agugu",1,0,0,3.92506837844849,7.38504505157471
21133,"1. Agugu",3,0,0,3.92503595352173,7.3853120803833
21134,"1. Agugu",2,0,0,3.92624592781067,7.38418197631836
21135,"1. Agugu",3,0,0,3.92090582847595,7.38036012649536
21136,"1. Agugu",2,0,0,3.92518997192383,7.38555288314819
21137,"1. Agugu",1,0,0,3.92394280433655,7.38768148422241
21139,"1. Agugu",1,0,0,3.92523288726807,7.38556909561157
21141,"1. Agugu",1,0,0,3.92426133155823,7.38700437545776
21142,"1. Agugu",3,0,0,3.92539811134338,7.38577890396118
21143,"1. Agugu",2,0,0,3.92524266242981,7.38582420349121
21144,"1. Agugu",1,0,0,3.92362427711487,7.38362503051758
21145,"1. Agugu",2,0,0,3.92566204071045,7.38608312606812
21146,"1. Agugu",3,0,0,3.92549896240234,7.38630533218384
21147,"1. Agugu",1,0,0,3.92075777053833,7.3822546005249
21148,"1. Agugu",4,0,0,3.92545819282532,7.38636112213135
21149,"1. Agugu",2,0,0,3.92555260658264,7.38639783859253
21150,"1. Agugu",1,0,0,3.92457985877991,7.38531637191772
21151,"1. Agugu",1,0,0,3.92563700675964,7.38561010360718
21153,"1. Agugu",3,0,0,3.92359805107117,7.38237237930298
21154,"1. Agugu",1,1,1,3.92582821846008,7.38558292388916
21155,"1. Agugu",1,0,0,3.92583441734314,7.38593816757202
21156,"1. Agugu",4,0,0,3.92617225646973,7.38429117202759
21157,"1. Agugu",1,0,0,3.92556476593018,7.38522338867188
21158,"1. Agugu",1,0,0,3.92583656311035,7.38536357879639
21159,"1. Agugu",1,0,0,3.92457985877991,7.38531637191772
21160,"1. Agugu",1,0,0,3.92540669441223,7.38493204116821
21161,"1. Agugu",1,0,0,3.92457985877991,7.38531637191772
21162,"1. Agugu",4,0,0,3.92608618736267,7.38527965545654
21163,"1. Agugu",1,0,0,3.92623662948608,7.38557147979736
21165,"1. Agugu",1,0,0,3.92643618583679,7.38527965545654
21166,"1. Agugu",4,0,0,3.92700576782227,7.38395690917969
21167,"1. Agugu",1,0,0,3.92638325691223,7.38526487350464
21168,"1. Agugu",1,0,0,3.92649078369141,7.38529968261719
21169,"1. Agugu",5,3,0.6,3.92426109313965,7.38525676727295
21170,"1. Agugu",1,0,0,3.92493176460266,7.3870587348938
21171,"1. Agugu",4,0,0,3.92619490623474,7.38494777679443
21172,"1. Agugu",2,0,0,3.92470788955688,7.38714456558228
21173,"1. Agugu",1,0,0,3.92487955093384,7.38788557052612
21174,"1. Agugu",1,1,1,3.92485451698303,7.38702249526978
21175,"1. Agugu",3,1,0.333333333333333,3.92486333847046,7.3872652053833
21176,"1. Agugu",3,0,0,3.92426133155823,7.38704061508179
21177,"1. Agugu",1,0,0,3.92535400390625,7.38704347610474
21178,"1. Agugu",1,0,0,3.92519760131836,7.38706159591675
21179,"1. Agugu",1,0,0,3.92171335220337,7.38668489456177
21180,"1. Agugu",1,0,0,3.92409801483154,7.388014793396
21181,"1. Agugu",4,0,0,3.92535662651062,7.38673210144043
21182,"1. Agugu",1,0,0,3.92362427711487,7.38493728637695
21183,"1. Agugu",2,1,0.5,3.92935752868652,7.38835859298706
21184,"1. Agugu",3,0,0,3.92489838600159,7.38570642471313
21185,"1. Agugu",3,0,0,3.92519855499268,7.38647842407227
21186,"1. Agugu",6,0,0,3.92510557174683,7.38629388809204
21187,"1. Agugu",5,1,0.2,3.92786598205566,7.38409948348999
21188,"1. Agugu",5,1,0.2,3.92482733726501,7.38783073425293
21189,"1. Agugu",5,0,0,3.92369937896729,7.37840270996094
21191,"1. Agugu",1,0,0,3.92558836936951,7.38344955444336
21192,"1. Agugu",2,0,0,3.92529845237732,7.38628959655762
21193,"1. Agugu",1,0,0,3.92266869544983,7.38465881347656
21194,"1. Agugu",2,0,0,3.92235040664673,7.38531637191772
21196,"1. Agugu",2,1,0.5,3.92471361160278,7.38650846481323
21197,"1. Agugu",1,1,1,3.92426133155823,7.38801574707031
21198,"1. Agugu",1,0,0,3.92331004142761,7.38601303100586
21199,"1. Agugu",1,0,0,3.92474174499512,7.38599252700806
21200,"1. Agugu",1,0,0,3.92464065551758,7.38603591918945
21201,"1. Agugu",2,1,0.5,3.92438101768494,7.38595819473267
21202,"1. Agugu",3,1,0.333333333333333,3.92453837394714,7.38594484329224
21203,"1. Agugu",3,0,0,3.92457509040833,7.38594627380371
21205,"1. Agugu",4,0,0,3.92488670349121,7.38591814041138
21206,"1. Agugu",5,0,0,3.92682337760925,7.38434839248657
21207,"1. Agugu",1,0,0,3.92430400848389,7.38579320907593
21208,"1. Agugu",3,0,0,3.92394280433655,7.38768148422241
21209,"1. Agugu",1,0,0,3.93569302558899,7.3793740272522
21210,"1. Agugu",2,0,0,3.93569207191467,7.37939119338989
21211,"1. Agugu",1,0,0,3.92418003082275,7.38575792312622
21212,"1. Agugu",2,1,0.5,3.935133934021,7.37819290161133
21214,"1. Agugu",5,2,0.4,3.9252667427063,7.38618469238281
21215,"1. Agugu",1,0,0,3.93582081794739,7.37999486923218
21216,"1. Agugu",1,0,0,3.93450331687927,7.38109731674194
21217,"1. Agugu",2,0,0,3.93541026115417,7.37885427474976
21218,"1. Agugu",1,0,0,3.93604731559753,7.38184499740601
21219,"1. Agugu",2,0,0,3.93566489219666,7.37895011901855
21220,"1. Agugu",2,0,0,3.93604731559753,7.37847471237183
21223,"1. Agugu",1,0,0,3.93531203269958,7.37845897674561
21224,"1. Agugu",1,0,0,3.93542385101318,7.37840843200684
21225,"1. Agugu",2,0,0,3.9354043006897,7.37839651107788
21226,"1. Agugu",1,0,0,3.93604731559753,7.37847471237183
21227,"1. Agugu",4,0,0,3.935382604599,7.37817859649658
21228,"1. Agugu",2,1,0.5,3.93537497520447,7.37822198867798
21229,"1. Agugu",4,0,0,3.93539953231812,7.3782320022583
21230,"1. Agugu",1,0,0,3.93530011177063,7.37853717803955
21231,"1. Agugu",1,0,0,3.93541026115417,7.38016510009766
21232,"1. Agugu",4,0,0,3.93513870239258,7.37822580337524
21233,"1. Agugu",2,0,0,3.93349885940552,7.37782287597656
21234,"1. Agugu",1,0,0,3.93556213378906,7.37890434265137
21235,"1. Agugu",1,0,0,3.93568921089172,7.37852144241333
21236,"1. Agugu",5,0,0,3.93563795089722,7.37868022918701
21237,"1. Agugu",1,0,0,3.93610858917236,7.37858295440674
21238,"1. Agugu",1,0,0,3.93480753898621,7.37864589691162
21239,"1. Agugu",1,0,0,3.93636608123779,7.37847661972046
21240,"1. Agugu",1,0,0,3.93349885940552,7.37782287597656
21241,"1. Agugu",2,0,0,3.93349885940552,7.37782287597656
21242,"1. Agugu",2,0,0,3.93574500083923,7.38008642196655
21243,"1. Agugu",2,0,0,3.93439769744873,7.38054275512695
21244,"1. Agugu",1,0,0,3.93488097190857,7.37845706939697
21245,"1. Agugu",2,0,0,3.9348030090332,7.37852478027344
21246,"1. Agugu",3,0,0,3.93311357498169,7.37642621994019
21247,"1. Agugu",3,0,0,3.93126893043518,7.37649393081665
21248,"1. Agugu",1,0,0,3.93063187599182,7.37548875808716
21249,"1. Agugu",2,0,0,3.93126893043518,7.37823724746704
21250,"1. Agugu",2,0,0,3.93290376663208,7.37644672393799
21251,"1. Agugu",6,0,0,3.93352007865906,7.37675285339355
21252,"1. Agugu",4,0,0,3.93348908424377,7.37630701065063
21253,"1. Agugu",3,1,0.333333333333333,3.93384790420532,7.37674617767334
21254,"1. Agugu",1,0,0,3.93408703804016,7.37663507461548
21255,"1. Agugu",1,0,0,3.93190598487854,7.37662029266357
21256,"1. Agugu",2,0,0,3.93436789512634,7.37667942047119
21257,"1. Agugu",2,0,0,3.93434309959412,7.37659502029419
21258,"1. Agugu",1,0,0,3.9325430393219,7.37539386749268
21259,"1. Agugu",2,0,0,3.93413591384888,7.37579488754272
21260,"1. Agugu",4,1,0.25,3.93410706520081,7.37694597244263
21261,"1. Agugu",5,2,0.4,3.93408513069153,7.37665700912476
